sexo,edad,pobreza,y1,ytotcorh,ytot,y2_hrs,tot_per,n_ocupados,n_desocupados,v19,pobreza_sinte,asiste2,esc,educ,activ,activ2,ocup_inf,sist_salud,expr
Hombre,25,No pobres,,625000,25000,,4,1,2,340000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,Ninguno (particular),44
Mujer,43,Pobres extremos,,445274,345274,,7,2,1,4e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,35
Hombre,67,Pobres extremos,,445274,,,7,2,1,4e+05,Pobres extremos sin transferencia Covid,No asiste,,No sabe,Desocupados,Desocupados,,FONASA,35
Mujer,27,Pobres extremos,,0,,,1,0,1,1e+05,Pobres extremos sin transferencia Covid,No asiste,13,Profesional incompleto,Desocupados,Desocupados,,FONASA,34
Mujer,60,No pobres,350000,350000,350000,220,1,1,0,1e+05,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,34
Hombre,34,No pobres,,7e+05,7e+05,,4,2,0,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,Ninguno (particular),49
Mujer,41,No pobres,,596250,596250,,3,1,0,70000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,31
Mujer,40,Pobres no extremos,,2e+05,2e+05,,2,1,0,5e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,31
Mujer,24,No pobres,,1226106,335717,,3,2,0,5e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,35
Mujer,28,No pobres,,520250,1500,,2,1,0,3e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Inactivos,Inactivos,,FONASA,28
Hombre,58,No pobres,1200000,1567526,1200000,,4,1,1,,No pobres sin transferencia Covid,No asiste,18,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,59
Hombre,24,No pobres,,480000,160000,,4,3,1,340000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,59
Hombre,35,No pobres,,480000,160000,,4,3,1,340000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,59
Hombre,31,No pobres,,480000,160000,,4,3,1,340000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,59
Mujer,32,No pobres,,480000,,,4,3,1,340000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Desocupados,Desocupados,,FONASA,59
Mujer,53,No pobres,4e+05,740211,440211,180,3,1,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,48
Hombre,30,No pobres,,1052508,,180,5,1,1,,No pobres sin transferencia Covid,Asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,48
Mujer,39,No pobres,,2670833,,,3,1,0,450000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Isapre,63
Mujer,29,No pobres,,816104,802949,,2,1,0,150000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,33
Mujer,22,No pobres,320000,350000,350000,160,1,1,0,120000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,33
Mujer,29,No pobres,,433155,,,3,1,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,34
Hombre,44,Pobres no extremos,,371333,13333,,3,1,1,270000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,34
Mujer,40,Pobres no extremos,3e+05,371333,3e+05,120,3,1,1,270000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,34
Hombre,42,No pobres,,4e+05,4e+05,,3,1,0,120000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,39
Mujer,14,No pobres,,4e+05,,,3,1,0,120000,No pobres sin transferencia Covid,Asiste,,Media humanista incompleta,,,,Ninguno (particular),39
Mujer,46,No pobres,,4e+05,,,3,1,0,120000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),39
Mujer,25,No pobres,,1667977,,,4,2,0,4e+05,No pobres sin transferencia Covid,Asiste,17,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,41
Mujer,45,No pobres,,1667977,544822,,4,2,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,41
Hombre,33,Pobres no extremos,,520417,,,5,0,0,250000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,51
Mujer,51,Pobres no extremos,,520417,140417,,5,0,0,250000,Pobres no extremos sin transferencia Covid,No asiste,13,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,51
Mujer,24,Pobres no extremos,,520417,130000,,5,0,0,250000,Pobres no extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,51
Hombre,40,Pobres no extremos,,520417,250000,,5,0,0,250000,Pobres no extremos sin transferencia Covid,No asiste,17,Profesional completo,Inactivos,Inactivos,,FONASA,51
Mujer,46,No pobres,260000,573512,265051,180,5,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,35
Hombre,50,No pobres,280000,573512,290461,180,5,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,35
Hombre,48,Pobres extremos,,382263,60000,,7,0,1,350000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,51
Mujer,34,Pobres extremos,,382263,196488,,7,0,1,350000,Pobres extremos sin transferencia Covid,No asiste,9,Media humanista incompleta,Inactivos,Inactivos,,FONASA,51
Mujer,17,Pobres extremos,,382263,26310,,7,0,1,350000,Pobres extremos sin transferencia Covid,Asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,51
Mujer,30,No pobres,350000,1033917,441667,220,4,2,0,2e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,40
Hombre,11,No pobres,,1033917,,,4,2,0,2e+05,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,40
Mujer,52,No pobres,,1033917,,,4,2,0,2e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,Ninguno (particular),40
Hombre,37,No pobres,350000,1033917,592250,160,4,2,0,2e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,40
Mujer,65,No pobres,,458583,98000,,2,0,1,3e+05,No pobres sin transferencia Covid,No asiste,6,Básica incompleta,Inactivos,Inactivos,,FONASA,35
Mujer,1,Pobres extremos,,40000,,,4,2,0,2e+05,Pobres extremos sin transferencia Covid,Asiste,,Sin educación formal,,,,Ninguno (particular),38
Hombre,27,No pobres,,1266667,,,3,2,1,350000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,No sabe,24
Hombre,4,Pobres extremos,,331667,,,5,1,0,2e+05,Pobres extremos sin transferencia Covid,Asiste,,Sin educación formal,,,,Ninguno (particular),38
Mujer,63,Pobres extremos,280000,331667,331667,160,5,1,0,2e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,38
Mujer,28,Pobres extremos,,331667,,,5,1,0,2e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FF.AA. y del Orden y Otro Sistema,38
Hombre,7,Pobres extremos,,331667,,,5,1,0,2e+05,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,Ninguno (particular),38
Hombre,49,No pobres,2500000,4361274,2581941,180,3,2,0,5e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,42
Hombre,28,No pobres,,385844,130000,,3,2,0,130000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,No sabe,51
Mujer,26,No pobres,,385844,,,3,2,0,130000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,No sabe,51
Mujer,78,No pobres,,544750,244750,,3,0,1,3e+05,No pobres sin transferencia Covid,Asiste,5,Básica incompleta,Inactivos,Inactivos,,FONASA,32
Mujer,32,Pobres extremos,,110298,97143,,2,1,0,2e+05,Pobres extremos sin transferencia Covid,No asiste,3,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,52
Hombre,31,No pobres,,1012243,5e+05,,5,3,0,350000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,37
Mujer,27,No pobres,3e+05,1012243,354167,180,5,3,0,350000,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,37
Mujer,54,No pobres,,1012243,150000,,5,3,0,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,37
Mujer,14,No pobres,,1012243,8076,,5,3,0,350000,No pobres sin transferencia Covid,Asiste,,Básica completa,,,,FONASA,37
Mujer,54,Pobres extremos,,160000,,,2,1,0,130000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,40
Hombre,62,Pobres extremos,160000,160000,160000,180,2,1,0,130000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,40
Hombre,53,No pobres,,750000,3e+05,,3,2,0,,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,Ninguno (particular),40
Mujer,41,No pobres,450000,750000,450000,176,3,2,0,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,40
Mujer,38,No pobres,320000,320000,320000,160,1,1,0,1e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,54
Mujer,22,Pobres extremos,,21667,,,3,1,1,1e+05,Pobres extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,FONASA,65
Hombre,44,No pobres,,488952,3e+05,,4,2,0,2e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,Ninguno (particular),65
Hombre,2,No pobres,,595000,,,3,2,0,,No pobres sin transferencia Covid,Asiste,,Sin educación formal,,,,FONASA,31
Hombre,35,Pobres extremos,,325469,,,5,1,0,350000,Pobres extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Inactivos,Inactivos,,Ninguno (particular),27
Mujer,59,Pobres extremos,3e+05,325469,312314,40,5,1,0,350000,Pobres extremos sin transferencia Covid,Asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,27
Mujer,34,Pobres extremos,,325469,,,5,1,0,350000,Pobres extremos sin transferencia Covid,No asiste,15,Técnico nivel superior incompleta,Inactivos,Inactivos,,FONASA,27
Hombre,89,Pobres extremos,,325469,,,5,1,0,350000,Pobres extremos sin transferencia Covid,No asiste,6,Básica completa,Inactivos,Inactivos,,Ninguno (particular),27
Hombre,23,Pobres extremos,,211466,,,4,0,2,80000,Pobres extremos sin transferencia Covid,Asiste,16,Profesional incompleto,Desocupados,Desocupados,,FONASA,33
Hombre,22,Pobres extremos,,211466,,,4,0,2,80000,Pobres extremos sin transferencia Covid,No asiste,14,Profesional incompleto,Desocupados,Desocupados,,FONASA,33
Mujer,42,Pobres extremos,,211466,198311,,4,0,2,80000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,33
Mujer,35,Pobres no extremos,,611667,320000,,8,2,1,180000,Pobres no extremos sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,Ninguno (particular),23
Hombre,6,Pobres no extremos,,611667,,,8,2,1,180000,Pobres no extremos sin transferencia Covid,Asiste,,Sin educación formal,,,,Ninguno (particular),23
Mujer,19,Pobres no extremos,,611667,140000,,8,2,1,180000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),23
Hombre,29,Pobres no extremos,,611667,150000,,8,2,1,180000,Pobres no extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,23
Mujer,29,Pobres no extremos,,611667,1667,,8,2,1,180000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),23
Hombre,14,Pobres no extremos,,611667,,,8,2,1,180000,Pobres no extremos sin transferencia Covid,Asiste,,Básica completa,,,,Ninguno (particular),23
Hombre,10,Pobres no extremos,,611667,,,8,2,1,180000,Pobres no extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,Ninguno (particular),23
Mujer,14,Pobres extremos,,41480,,,2,0,0,1e+05,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,23
Mujer,37,Pobres extremos,,41480,41480,,2,0,0,1e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,23
Hombre,56,Pobres no extremos,50000,119583,119583,15,1,1,0,110000,Pobres extremos sin transferencia Covid,No asiste,14,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,62
Hombre,38,Pobres extremos,,107275,41667,,5,1,0,150000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,31
Mujer,46,No pobres,,632500,,,4,3,0,480000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,27
Hombre,24,No pobres,,632500,50000,,4,3,0,480000,No pobres sin transferencia Covid,Asiste,16,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,27
Mujer,54,Pobres extremos,,80000,80000,,1,1,0,120000,Pobres extremos sin transferencia Covid,No asiste,9,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),27
Mujer,68,No pobres,,1398334,,,4,2,0,280000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Inactivos,Inactivos,,Ninguno (particular),27
Mujer,34,No pobres,4e+05,1398334,623334,168,4,2,0,280000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,27
Hombre,39,No pobres,650000,1398334,775000,240,4,2,0,280000,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,27
Mujer,43,No pobres,4e+05,1125584,1125584,,1,1,0,130000,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,27
Hombre,66,No pobres,,525963,70275,,2,1,0,250000,No pobres sin transferencia Covid,No asiste,5,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,40
Mujer,63,No pobres,,525963,,,2,1,0,250000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,40
Hombre,27,No pobres,,1804903,,,7,2,0,3e+05,No pobres sin transferencia Covid,No asiste,13,Profesional incompleto,Inactivos,Inactivos,,No sabe,43
Mujer,39,No pobres,,912810,246310,,5,0,2,280000,No pobres sin transferencia Covid,No asiste,,No sabe,Desocupados,Desocupados,,FONASA,43
Mujer,61,No pobres,,912810,185000,,5,0,2,280000,No pobres sin transferencia Covid,No asiste,,No sabe,Inactivos,Inactivos,,FONASA,43
Hombre,39,No pobres,,912810,2e+05,,5,0,2,280000,No pobres sin transferencia Covid,No asiste,,No sabe,Desocupados,Desocupados,,FONASA,43
Mujer,27,Pobres extremos,,141417,141417,,3,0,0,,Pobres extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,43
Mujer,15,No pobres,,800641,71308,,5,2,1,2e+05,No pobres sin transferencia Covid,Asiste,9,Media humanista incompleta,Inactivos,Inactivos,,FONASA,27
Mujer,45,No pobres,,800641,309333,,5,2,1,2e+05,No pobres sin transferencia Covid,No asiste,3,Básica incompleta,Desocupados,Desocupados,,FONASA,27
Hombre,49,No pobres,,800641,,,5,2,1,2e+05,No pobres sin transferencia Covid,No asiste,6,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,27
